,Date,Fund,NAV,Units,Inv,Cur
0,11-2022,ICICI_India_Opportunities_Fund,21.7,230.403,4999.75,8248.43
1,12-2022,ICICI_India_Opportunities_Fund,21.46,232.98,4999.75,8340.68
2,01-2023,ICICI_India_Opportunities_Fund,21.14,236.507,4999.75,8466.95
3,03-2023,ICICI_India_Opportunities_Fund,20.82,240.142,4999.75,8597.08
4,03-2023,ICICI_India_Opportunities_Fund,20.74,241.068,4999.75,8630.23
5,05-2023,ICICI_India_Opportunities_Fund,21.61,231.363,4999.75,8282.8
6,05-2023,ICICI_India_Opportunities_Fund,22.41,223.104,4999.75,7987.12
7,06-2023,ICICI_India_Opportunities_Fund,23.73,210.693,4999.75,7542.81
8,07-2023,ICICI_India_Opportunities_Fund,25.44,196.531,4999.75,7035.81
9,08-2023,ICICI_India_Opportunities_Fund,25.46,196.377,4999.75,7030.3
10,09-2023,ICICI_India_Opportunities_Fund,26.68,187.397,4999.75,6708.81
11,10-2023,ICICI_India_Opportunities_Fund,26.08,191.708,4999.75,6863.15
12,11-2023,ICICI_India_Opportunities_Fund,27.59,181.216,4999.75,6487.53
13,12-2023,ICICI_India_Opportunities_Fund,29.5,169.483,4999.75,6067.49
14,01-2024,ICICI_India_Opportunities_Fund,30.01,166.603,4999.75,5964.39
15,02-2024,ICICI_India_Opportunities_Fund,30.91,161.752,4999.75,5790.72
16,04-2024,ICICI_India_Opportunities_Fund,32.11,155.707,4999.75,5574.31
17,04-2024,ICICI_India_Opportunities_Fund,32.64,153.179,4999.75,5483.81
18,05-2024,ICICI_India_Opportunities_Fund,33.05,151.278,4999.75,5415.75
19,07-2024,ICICI_India_Opportunities_Fund,35.05,142.646,4999.75,5106.73
20,07-2024,ICICI_India_Opportunities_Fund,35.43,141.116,4999.75,5051.95
21,07-2024,ICICI_India_Opportunities_Fund,35.89,139.308,4999.75,4987.23
22,07-2024,ICICI_India_Opportunities_Fund,36.58,136.68,4999.75,4893.14
23,08-2024,ICICI_India_Opportunities_Fund,35.94,139.114,4999.75,4980.28
24,08-2024,ICICI_India_Opportunities_Fund,37.13,134.655,4999.75,4820.65
25,08-2024,ICICI_India_Opportunities_Fund,37.77,132.374,4999.75,4738.99
26,09-2024,ICICI_India_Opportunities_Fund,38.04,131.434,4999.75,4705.34
27,09-2024,ICICI_India_Opportunities_Fund,39.08,127.936,4999.75,4580.11
28,09-2024,ICICI_India_Opportunities_Fund,38.88,128.594,4999.75,4603.67
29,10-2024,ICICI_India_Opportunities_Fund,37.48,133.398,4999.75,4775.65
30,10-2024,ICICI_India_Opportunities_Fund,37.63,132.866,4999.75,4756.6
31,10-2024,ICICI_India_Opportunities_Fund,37.02,135.055,4999.75,4834.97
32,11-2024,ICICI_India_Opportunities_Fund,37.23,134.294,4999.75,4807.73
33,11-2024,ICICI_India_Opportunities_Fund,35.68,140.128,4999.75,5016.58
34,11-2024,ICICI_India_Opportunities_Fund,36.76,136.011,4999.75,4869.19
35,12-2024,ICICI_India_Opportunities_Fund,37.51,133.291,4999.75,4771.82
36,12-2024,ICICI_India_Opportunities_Fund,36.17,138.229,4999.75,4948.6
37,12-2024,ICICI_India_Opportunities_Fund,36.2,138.115,4999.75,4944.52
38,06-2021,Axis_Mid_Cap_Fund,66.51,75.173,4999.75,9209.44
39,07-2021,Axis_Mid_Cap_Fund,68.92,72.544,4999.75,8887.37
40,08-2021,Axis_Mid_Cap_Fund,71.02,70.399,4999.75,8624.58
41,09-2021,Axis_Mid_Cap_Fund,76.97,64.957,4999.75,7957.88
42,09-2021,Axis_Mid_Cap_Fund,77.41,32.294,2499.88,3956.34
43,09-2021,Axis_Mid_Cap_Fund,77.09,129.712,9999.5,15891.02
44,09-2021,Axis_Mid_Cap_Fund,76.41,32.717,2499.88,4008.16
45,10-2021,Axis_Mid_Cap_Fund,77.21,32.378,2499.88,3966.63
46,10-2021,Axis_Mid_Cap_Fund,79.34,63.017,4999.75,7720.21
47,10-2021,Axis_Mid_Cap_Fund,80.58,31.024,2499.88,3800.75
48,10-2021,Axis_Mid_Cap_Fund,78.64,31.789,2499.88,3894.47
49,10-2021,Axis_Mid_Cap_Fund,78.35,31.907,2499.88,3908.93
50,11-2021,Axis_Mid_Cap_Fund,79.03,31.632,2499.88,3875.24
51,11-2021,Axis_Mid_Cap_Fund,80.24,62.31,4999.75,7633.6
52,11-2021,Axis_Mid_Cap_Fund,80.92,30.893,2499.88,3784.7
53,11-2021,Axis_Mid_Cap_Fund,80.67,61.978,4999.75,7592.92
54,11-2021,Axis_Mid_Cap_Fund,81.4,30.711,2499.88,3762.4
55,11-2021,Axis_Mid_Cap_Fund,78.51,31.842,2499.88,3900.96
56,12-2021,Axis_Mid_Cap_Fund,77.07,32.436,2499.88,3973.73
57,12-2021,Axis_Mid_Cap_Fund,76.27,39.332,2999.85,4818.56
58,12-2021,Axis_Mid_Cap_Fund,78.35,31.907,2499.88,3908.93
59,12-2021,Axis_Mid_Cap_Fund,78.7,63.529,4999.75,7782.94
60,12-2021,Axis_Mid_Cap_Fund,77.98,32.058,2499.88,3927.43
61,12-2021,Axis_Mid_Cap_Fund,75.93,32.923,2499.88,4033.4
62,12-2021,Axis_Mid_Cap_Fund,77.01,32.462,2499.88,3976.92
63,01-2022,Axis_Mid_Cap_Fund,79.41,31.481,2499.88,3856.74
64,01-2022,Axis_Mid_Cap_Fund,79.76,62.685,4999.75,7679.54
65,01-2022,Axis_Mid_Cap_Fund,80.3,31.132,2499.88,3813.98
66,01-2022,Axis_Mid_Cap_Fund,78.97,31.656,2499.88,3878.18
67,01-2022,Axis_Mid_Cap_Fund,74.59,67.03,4999.75,8211.85
68,01-2022,Axis_Mid_Cap_Fund,73.73,33.906,2499.88,4153.82
69,02-2022,Axis_Mid_Cap_Fund,77.23,32.369,2499.88,3965.53
70,02-2022,Axis_Mid_Cap_Fund,75.88,32.945,2499.88,4036.09
71,02-2022,Axis_Mid_Cap_Fund,74.32,67.273,4999.75,8241.62
72,02-2022,Axis_Mid_Cap_Fund,73.64,33.947,2499.88,4158.85
73,02-2022,Axis_Mid_Cap_Fund,72.84,34.32,2499.88,4204.54
74,03-2022,Axis_Mid_Cap_Fund,71.81,34.812,2499.88,4264.82
75,03-2022,Axis_Mid_Cap_Fund,71.14,35.14,2499.88,4305.0
76,03-2022,Axis_Mid_Cap_Fund,72.39,69.067,4999.75,8461.4
77,03-2022,Axis_Mid_Cap_Fund,72.76,137.431,9999.5,16836.67
78,03-2022,Axis_Mid_Cap_Fund,73.36,34.077,2499.88,4174.77
79,03-2022,Axis_Mid_Cap_Fund,74.32,33.637,2499.88,4120.87
80,04-2022,Axis_Mid_Cap_Fund,75.92,65.856,4999.75,8068.02
81,05-2022,Axis_Mid_Cap_Fund,68.02,73.504,4999.75,9004.98
82,06-2022,Axis_Mid_Cap_Fund,66.81,74.835,4999.75,9168.04
83,07-2022,Axis_Mid_Cap_Fund,70.09,71.333,4999.75,8739.01
84,08-2022,Axis_Mid_Cap_Fund,76.74,65.152,4999.75,7981.77
85,08-2022,Axis_Mid_Cap_Fund,78.16,63.968,4999.75,7836.72
86,09-2022,Axis_Mid_Cap_Fund,79.78,62.669,4999.75,7677.58
87,10-2022,Axis_Mid_Cap_Fund,76.35,65.485,4999.75,8022.57
88,11-2022,Axis_Mid_Cap_Fund,77.18,64.78,4999.75,7936.2
89,12-2022,Axis_Mid_Cap_Fund,77.54,64.48,4999.75,7899.44
90,01-2023,Axis_Mid_Cap_Fund,74.22,67.364,4999.75,8252.76
91,02-2023,Axis_Mid_Cap_Fund,74.66,66.967,4999.75,8204.13
92,03-2023,Axis_Mid_Cap_Fund,72.87,68.612,4999.75,8405.66
93,07-2023,Axis_Mid_Cap_Fund,84.62,59.085,4999.75,7238.5
94,08-2023,Axis_Mid_Cap_Fund,86.28,57.948,4999.75,7099.21
95,09-2023,Axis_Mid_Cap_Fund,91.21,54.816,4999.75,6715.51
96,10-2023,Axis_Mid_Cap_Fund,88.77,56.323,4999.75,6900.13
97,10-2023,Axis_Mid_Cap_Fund,87.28,57.284,4999.75,7017.86
98,11-2023,Axis_Mid_Cap_Fund,89.38,55.938,4999.75,6852.96
99,11-2023,Axis_Mid_Cap_Fund,91.97,54.363,4999.75,6660.01
100,12-2023,Axis_Mid_Cap_Fund,95.54,52.331,4999.75,6411.07
101,12-2023,Axis_Mid_Cap_Fund,97.71,51.169,4999.75,6268.71
102,01-2024,Axis_Mid_Cap_Fund,98.6,50.707,4999.75,6212.11
103,01-2024,Axis_Mid_Cap_Fund,98.91,50.548,4999.75,6192.64
104,02-2024,Axis_Mid_Cap_Fund,100.98,49.512,4999.75,6065.72
105,02-2024,Axis_Mid_Cap_Fund,101.67,49.176,4999.75,6024.55
106,03-2024,Axis_Mid_Cap_Fund,102.51,48.773,4999.75,5975.18
107,03-2024,Axis_Mid_Cap_Fund,104.27,47.95,4999.75,5874.35
108,04-2024,Axis_Mid_Cap_Fund,107.14,46.666,4999.75,5717.05
109,04-2024,Axis_Mid_Cap_Fund,109.56,45.635,4999.75,5590.74
110,05-2024,Axis_Mid_Cap_Fund,108.82,45.945,4999.75,5628.72
111,05-2024,Axis_Mid_Cap_Fund,115.79,43.179,4999.75,5289.86
112,06-2024,Axis_Mid_Cap_Fund,118.48,42.199,4999.75,5169.8
113,06-2024,Axis_Mid_Cap_Fund,124.86,40.043,4999.75,4905.67
114,07-2024,Axis_Mid_Cap_Fund,127.64,39.171,4999.75,4798.84
115,07-2024,Axis_Mid_Cap_Fund,127.84,39.109,4999.75,4791.24
116,08-2024,Axis_Mid_Cap_Fund,124.35,40.207,4999.75,4925.76
117,08-2024,Axis_Mid_Cap_Fund,130.19,38.403,4999.75,4704.75
118,09-2024,Axis_Mid_Cap_Fund,130.32,38.365,4999.75,4700.1
119,09-2024,Axis_Mid_Cap_Fund,134.59,37.148,4999.75,4551.0
120,10-2024,Axis_Mid_Cap_Fund,128.69,38.851,4999.75,4759.64
121,10-2024,Axis_Mid_Cap_Fund,125.66,39.788,4999.75,4874.43
122,11-2024,Axis_Mid_Cap_Fund,127.46,39.226,4999.75,4805.58
123,11-2024,Axis_Mid_Cap_Fund,126.53,39.514,4999.75,4840.86
124,12-2024,Axis_Mid_Cap_Fund,132.16,37.831,4999.75,4634.68
125,12-2024,Axis_Mid_Cap_Fund,129.41,38.635,4999.75,4733.17
126,09-2020,UTI_Nifty_Index_Fund,76.5808,32.644,2499.88,5272.74
127,10-2020,UTI_Nifty_Index_Fund,75.874,32.948,2499.88,5321.84
128,10-2020,UTI_Nifty_Index_Fund,77.6399,643.967,49997.5,104015.16
129,10-2020,UTI_Nifty_Index_Fund,77.6399,32.198,2499.88,5200.7
130,11-2020,UTI_Nifty_Index_Fund,77.6778,32.183,2499.88,5198.28
131,11-2020,UTI_Nifty_Index_Fund,85.7236,29.162,2499.88,4710.32
132,12-2020,UTI_Nifty_Index_Fund,87.283,28.641,2499.88,4626.17
133,12-2020,UTI_Nifty_Index_Fund,90.3314,27.675,2499.88,4470.14
134,01-2021,UTI_Nifty_Index_Fund,93.3472,26.78,2499.88,4325.57
135,01-2021,UTI_Nifty_Index_Fund,96.1188,26.008,2499.88,4200.88
136,01-2021,UTI_Nifty_Index_Fund,93.0293,80.616,7499.63,13021.3
137,02-2021,UTI_Nifty_Index_Fund,98.4991,25.38,2499.88,4099.44
138,02-2021,UTI_Nifty_Index_Fund,101.355,73.994,7499.63,11951.7
139,02-2021,UTI_Nifty_Index_Fund,101.355,24.665,2499.88,3983.95
140,03-2021,UTI_Nifty_Index_Fund,99.4927,25.126,2499.88,4058.41
141,03-2021,UTI_Nifty_Index_Fund,99.4581,25.135,2499.88,4059.87
142,04-2021,UTI_Nifty_Index_Fund,97.6543,25.599,2499.88,4134.81
143,04-2021,UTI_Nifty_Index_Fund,97.285,102.786,9999.5,16602.25
144,04-2021,UTI_Nifty_Index_Fund,95.4803,-32.948,-3145.85,-5321.84
145,04-2021,UTI_Nifty_Index_Fund,97.5248,25.633,2499.88,4140.31
146,04-2021,UTI_Nifty_Index_Fund,97.5248,10.253,999.95,1656.09
147,05-2021,UTI_Nifty_Index_Fund,97.658,25.598,2499.88,4134.65
148,05-2021,UTI_Nifty_Index_Fund,99.5772,25.105,2499.88,4055.02
149,06-2021,UTI_Nifty_Index_Fund,104.1085,24.012,2499.88,3878.48
150,06-2021,UTI_Nifty_Index_Fund,106.2268,23.533,2499.88,3801.11
151,07-2021,UTI_Nifty_Index_Fund,105.0343,23.801,2499.88,3844.4
152,07-2021,UTI_Nifty_Index_Fund,106.73,23.422,2499.88,3783.18
153,08-2021,UTI_Nifty_Index_Fund,106.5745,23.457,2499.88,3788.83
154,08-2021,UTI_Nifty_Index_Fund,111.4956,22.421,2499.88,3621.5
155,09-2021,UTI_Nifty_Index_Fund,114.5849,21.817,2499.88,3523.94
156,09-2021,UTI_Nifty_Index_Fund,118.3458,21.124,2499.88,3412.0
157,09-2021,UTI_Nifty_Index_Fund,119.8484,83.435,9999.5,13476.63
158,10-2021,UTI_Nifty_Index_Fund,118.7426,21.053,2499.88,3400.53
159,10-2021,UTI_Nifty_Index_Fund,124.0243,20.156,2499.88,3255.65
160,11-2021,UTI_Nifty_Index_Fund,120.2123,20.796,2499.88,3359.02
161,11-2021,UTI_Nifty_Index_Fund,121.4129,82.359,9999.5,13302.83
162,11-2021,UTI_Nifty_Index_Fund,120.9674,20.666,2499.88,3338.02
163,11-2021,UTI_Nifty_Index_Fund,117.6624,84.985,9999.5,13726.99
164,12-2021,UTI_Nifty_Index_Fund,116.9738,21.371,2499.88,3451.9
165,12-2021,UTI_Nifty_Index_Fund,113.685,87.958,9999.5,14207.2
166,12-2021,UTI_Nifty_Index_Fund,115.4588,86.607,9999.5,13988.98
167,12-2021,UTI_Nifty_Index_Fund,115.9331,21.563,2499.88,3482.91
168,12-2021,UTI_Nifty_Index_Fund,113.9915,87.721,9999.5,14168.92
169,01-2022,UTI_Nifty_Index_Fund,118.485,21.099,2499.88,3407.96
170,01-2022,UTI_Nifty_Index_Fund,119.2976,83.82,9999.5,13538.82
171,01-2022,UTI_Nifty_Index_Fund,123.0684,20.313,2499.88,3281.01
172,01-2022,UTI_Nifty_Index_Fund,115.3031,86.724,9999.5,14007.88
173,01-2022,UTI_Nifty_Index_Fund,114.9831,173.93,19999.0,28093.61
174,01-2022,UTI_Nifty_Index_Fund,116.58,171.547,19999.0,27708.7
175,02-2022,UTI_Nifty_Index_Fund,119.5338,20.914,2499.88,3378.08
176,02-2022,UTI_Nifty_Index_Fund,116.111,86.12,9999.5,13910.32
177,02-2022,UTI_Nifty_Index_Fund,116.6106,21.438,2499.88,3462.72
178,02-2022,UTI_Nifty_Index_Fund,115.097,86.879,9999.5,14032.91
179,03-2022,UTI_Nifty_Index_Fund,111.0856,180.032,19999.0,29079.22
180,03-2022,UTI_Nifty_Index_Fund,111.0856,22.504,2499.88,3634.9
181,03-2022,UTI_Nifty_Index_Fund,107.8181,92.744,9999.5,14980.24
182,03-2022,UTI_Nifty_Index_Fund,113.581,264.115,29998.5,42660.52
183,03-2022,UTI_Nifty_Index_Fund,114.2799,21.875,2499.88,3533.3
184,03-2022,UTI_Nifty_Index_Fund,116.5643,85.785,9999.5,13856.21
185,03-2022,UTI_Nifty_Index_Fund,117.7887,169.787,19999.0,27424.42
186,04-2022,UTI_Nifty_Index_Fund,119.8815,20.853,2499.88,3368.23
187,04-2022,UTI_Nifty_Index_Fund,119.8815,83.412,9999.5,13472.91
188,04-2022,UTI_Nifty_Index_Fund,115.6049,21.624,2499.88,3492.76
189,04-2022,UTI_Nifty_Index_Fund,117.0834,85.405,9999.5,13794.83
190,04-2022,UTI_Nifty_Index_Fund,115.1546,173.671,19999.0,28051.77
191,05-2022,UTI_Nifty_Index_Fund,114.9271,21.752,2499.88,3513.44
192,05-2022,UTI_Nifty_Index_Fund,110.4983,90.495,9999.5,14616.98
193,05-2022,UTI_Nifty_Index_Fund,109.5712,22.815,2499.88,3685.14
194,05-2022,UTI_Nifty_Index_Fund,109.2632,91.518,9999.5,14782.22
195,05-2022,UTI_Nifty_Index_Fund,112.4261,177.886,19999.0,28732.59
196,06-2022,UTI_Nifty_Index_Fund,111.6674,22.387,2499.88,3616.0
197,06-2022,UTI_Nifty_Index_Fund,110.9464,90.129,9999.5,14557.86
198,06-2022,UTI_Nifty_Index_Fund,103.9365,24.052,2499.88,3884.94
199,06-2022,UTI_Nifty_Index_Fund,103.4835,241.572,24998.75,39019.31
200,06-2022,UTI_Nifty_Index_Fund,104.2998,95.873,9999.5,15485.65
201,06-2022,UTI_Nifty_Index_Fund,106.8932,187.093,19999.0,30219.73
202,07-2022,UTI_Nifty_Index_Fund,107.1969,23.32,2499.88,3766.7
203,07-2022,UTI_Nifty_Index_Fund,108.2384,92.384,9999.5,14922.09
204,07-2022,UTI_Nifty_Index_Fund,110.2317,22.678,2499.88,3663.01
205,07-2022,UTI_Nifty_Index_Fund,112.5238,88.866,9999.5,14353.86
206,08-2022,UTI_Nifty_Index_Fund,117.5585,21.265,2499.88,3434.78
207,08-2022,UTI_Nifty_Index_Fund,118.8406,84.142,9999.5,13590.83
208,08-2022,UTI_Nifty_Index_Fund,121.7415,246.411,29998.5,39800.92
209,08-2022,UTI_Nifty_Index_Fund,121.7415,20.534,2499.88,3316.7
210,08-2022,UTI_Nifty_Index_Fund,118.7547,84.203,9999.5,13600.68
211,09-2022,UTI_Nifty_Index_Fund,119.1008,20.99,2499.88,3390.36
212,09-2022,UTI_Nifty_Index_Fund,119.8617,83.425,9999.5,13475.01
213,09-2022,UTI_Nifty_Index_Fund,119.0103,21.006,2499.88,3392.94
214,09-2022,UTI_Nifty_Index_Fund,120.2797,83.135,9999.5,13428.17
215,10-2022,UTI_Nifty_Index_Fund,114.6288,21.808,2499.88,3522.48
216,10-2022,UTI_Nifty_Index_Fund,117.6482,84.995,9999.5,13728.6
217,10-2022,UTI_Nifty_Index_Fund,117.5178,21.272,2499.88,3435.91
218,10-2022,UTI_Nifty_Index_Fund,119.3263,83.8,9999.5,13535.59
219,11-2022,UTI_Nifty_Index_Fund,123.3081,20.273,2499.88,3274.55
220,11-2022,UTI_Nifty_Index_Fund,123.6935,80.841,9999.5,13057.64
221,11-2022,UTI_Nifty_Index_Fund,125.1082,19.982,2499.88,3227.54
222,11-2022,UTI_Nifty_Index_Fund,123.4102,81.027,9999.5,13087.68
223,12-2022,UTI_Nifty_Index_Fund,127.8321,19.556,2499.88,3158.73
224,12-2022,UTI_Nifty_Index_Fund,126.6753,78.938,9999.5,12750.26
225,12-2022,UTI_Nifty_Index_Fund,124.1274,20.14,2499.88,3253.06
226,12-2022,UTI_Nifty_Index_Fund,123.649,80.87,9999.5,13062.32
227,01-2023,UTI_Nifty_Index_Fund,123.6291,20.221,2499.88,3266.15
228,01-2023,UTI_Nifty_Index_Fund,122.6381,20.384,2499.88,3292.47
229,02-2023,UTI_Nifty_Index_Fund,119.6792,20.888,2499.88,3373.88
230,02-2023,UTI_Nifty_Index_Fund,122.608,20.389,2499.88,3293.28
231,03-2023,UTI_Nifty_Index_Fund,118.6294,21.073,2499.88,3403.76
232,03-2023,UTI_Nifty_Index_Fund,115.3624,21.67,2499.88,3500.19
233,04-2023,UTI_Nifty_Index_Fund,118.2387,21.143,2499.88,3415.07
234,04-2023,UTI_Nifty_Index_Fund,120.3387,20.774,2499.88,3355.47
235,05-2023,UTI_Nifty_Index_Fund,123.359,20.265,2499.88,3273.25
236,05-2023,UTI_Nifty_Index_Fund,124.5471,20.072,2499.88,3242.08
237,06-2023,UTI_Nifty_Index_Fund,125.9784,19.844,2499.88,3205.25
238,06-2023,UTI_Nifty_Index_Fund,128.4321,19.465,2499.88,3144.04
239,07-2023,UTI_Nifty_Index_Fund,131.8385,18.962,2499.88,3062.79
240,07-2023,UTI_Nifty_Index_Fund,134.5751,18.576,2499.88,3000.44
241,08-2023,UTI_Nifty_Index_Fund,134.7848,18.547,2499.88,2995.76
242,08-2023,UTI_Nifty_Index_Fund,132.502,18.867,2499.88,3047.45
243,09-2023,UTI_Nifty_Index_Fund,133.0351,18.791,2499.88,3035.17
244,10-2023,UTI_Nifty_Index_Fund,133.6418,18.706,2499.88,3021.44
245,10-2023,UTI_Nifty_Index_Fund,129.1621,77.418,9999.5,12504.75
246,11-2023,UTI_Nifty_Index_Fund,133.2252,75.057,9999.5,12123.39
247,11-2023,UTI_Nifty_Index_Fund,136.295,73.367,9999.5,11850.42
248,12-2023,UTI_Nifty_Index_Fund,143.2461,69.806,9999.5,11275.24
249,12-2023,UTI_Nifty_Index_Fund,146.9,68.07,9999.5,10994.84
250,01-2024,UTI_Nifty_Index_Fund,148.293,67.431,9999.5,10891.62
251,01-2024,UTI_Nifty_Index_Fund,146.3302,68.335,9999.5,11037.64
252,02-2024,UTI_Nifty_Index_Fund,149.1081,67.062,9999.5,10832.02
253,02-2024,UTI_Nifty_Index_Fund,152.2952,65.659,9999.5,10605.41
254,03-2024,UTI_Nifty_Index_Fund,153.225,65.26,9999.5,10540.96
255,03-2024,UTI_Nifty_Index_Fund,150.9331,66.251,9999.5,10701.03
256,04-2024,UTI_Nifty_Index_Fund,154.4461,64.744,9999.5,10457.61
257,04-2024,UTI_Nifty_Index_Fund,153.7508,65.037,9999.5,10504.94
258,05-2024,UTI_Nifty_Index_Fund,151.8256,65.862,9999.5,10638.19
259,05-2024,UTI_Nifty_Index_Fund,157.3236,63.56,9999.5,10266.37
260,06-2024,UTI_Nifty_Index_Fund,155.7331,64.209,9999.5,10371.2
261,06-2024,UTI_Nifty_Index_Fund,160.1875,62.424,9999.5,10082.88
262,06-2024,UTI_Nifty_Index_Fund,163.4427,61.18,9999.5,9881.95
263,07-2024,UTI_Nifty_Index_Fund,167.5749,59.672,9999.5,9638.37
264,07-2024,UTI_Nifty_Index_Fund,168.2544,59.431,9999.5,9599.44
265,08-2024,UTI_Nifty_Index_Fund,166.659,60.0,9999.5,9691.35
266,08-2024,UTI_Nifty_Index_Fund,172.8113,57.864,9999.5,9346.34
267,09-2024,UTI_Nifty_Index_Fund,172.9562,57.815,9999.5,9338.42
268,09-2024,UTI_Nifty_Index_Fund,179.5957,55.678,9999.5,8993.25
269,10-2024,UTI_Nifty_Index_Fund,172.3876,58.006,9999.5,9369.27
270,10-2024,UTI_Nifty_Index_Fund,166.9989,59.878,9999.5,9671.64
271,11-2024,UTI_Nifty_Index_Fund,165.1225,60.558,9999.5,9781.48
272,11-2024,UTI_Nifty_Index_Fund,167.4861,59.703,9999.5,9643.38
273,12-2024,UTI_Nifty_Index_Fund,170.1568,58.766,9999.5,9492.03
274,12-2024,UTI_Nifty_Index_Fund,164.1969,60.899,9999.5,9836.56
275,12-2024,Motilal_Oswal_SP500_Index_Fund,22.9697,435.334,9999.5,10391.6
276,07-2016,SBI_Bluechip,32.2346,46.534,1500.0,4447.23
277,08-2016,SBI_Bluechip,32.5623,46.066,1500.0,4402.5
278,08-2016,SBI_Bluechip,32.642,45.953,1500.0,4391.71
279,11-2016,SBI_Bluechip,33.4278,44.873,1500.0,4288.49
280,04-2017,SBI_Bluechip,35.0393,71.348,2500.0,6818.69
281,05-2017,SBI_Bluechip,35.5042,70.414,2500.0,6729.43
282,05-2017,SBI_Bluechip,36.0923,69.267,2500.0,6619.81
283,05-2017,SBI_Bluechip,35.5881,70.248,2500.0,6713.57
284,06-2017,SBI_Bluechip,36.7351,68.055,2500.0,6503.98
285,06-2017,SBI_Bluechip,36.6026,68.301,2500.0,6527.49
286,06-2017,SBI_Bluechip,36.5616,136.756,5000.0,13069.7
287,06-2017,SBI_Bluechip,36.8016,67.932,2500.0,6492.23
288,06-2017,SBI_Bluechip,36.1719,41.469,1500.0,3963.17
289,07-2017,SBI_Bluechip,36.7995,67.936,2500.0,6492.61
290,07-2017,SBI_Bluechip,37.0952,67.394,2500.0,6440.81
291,07-2017,SBI_Bluechip,37.6625,132.758,5000.0,12687.62
292,07-2017,SBI_Bluechip,37.4806,66.701,2500.0,6374.58
293,08-2017,SBI_Bluechip,38.5638,64.828,2500.0,6195.58
294,08-2017,SBI_Bluechip,37.3402,66.952,2500.0,6398.57
295,08-2017,SBI_Bluechip,37.8958,131.941,5000.0,12609.54
296,08-2017,SBI_Bluechip,37.2491,67.116,2500.0,6414.24
297,09-2017,SBI_Bluechip,38.1998,65.445,2500.0,6254.55
298,09-2017,SBI_Bluechip,38.6218,64.73,2500.0,6186.21
299,09-2017,SBI_Bluechip,38.8026,128.857,5000.0,12314.8
300,09-2017,SBI_Bluechip,38.9378,64.205,2500.0,6136.04
301,10-2017,SBI_Bluechip,37.6913,66.328,2500.0,6338.93
302,10-2017,SBI_Bluechip,38.0999,65.617,2500.0,6270.98
303,10-2017,SBI_Bluechip,38.673,129.289,5000.0,12356.09
304,10-2017,SBI_Bluechip,38.605,64.758,2500.0,6188.89
305,11-2017,SBI_Bluechip,39.7352,62.917,2500.0,6012.95
306,11-2017,SBI_Bluechip,39.2663,63.668,2500.0,6084.72
307,11-2017,SBI_Bluechip,38.6694,129.301,5000.0,12357.23
308,11-2017,SBI_Bluechip,39.4146,63.428,2500.0,6061.78
309,12-2017,SBI_Bluechip,39.0088,64.088,2500.0,6124.86
310,12-2017,SBI_Bluechip,39.8014,62.812,2500.0,6002.91
311,12-2017,SBI_Bluechip,39.7941,125.647,5000.0,12008.02
312,12-2017,SBI_Bluechip,40.3808,61.911,2500.0,5916.8
313,01-2018,SBI_Bluechip,40.8094,61.26,2500.0,5854.59
314,01-2018,SBI_Bluechip,40.95,61.05,2500.0,5834.52
315,01-2018,SBI_Bluechip,41.1095,121.626,5000.0,11623.74
316,01-2018,SBI_Bluechip,41.3983,60.389,2500.0,5771.35
317,02-2018,SBI_Bluechip,39.7675,62.865,2500.0,6007.98
318,02-2018,SBI_Bluechip,39.7554,62.885,2500.0,6009.89
319,02-2018,SBI_Bluechip,39.7438,125.806,5000.0,12023.22
320,02-2018,SBI_Bluechip,38.97,64.152,2500.0,6130.97
321,03-2018,SBI_Bluechip,39.2653,63.669,2500.0,6084.81
322,03-2018,SBI_Bluechip,39.3005,63.612,2500.0,6079.37
323,03-2018,SBI_Bluechip,39.4178,126.846,5000.0,12122.61
324,03-2018,SBI_Bluechip,38.6806,64.632,2500.0,6176.85
325,04-2018,SBI_Bluechip,40.0059,62.491,2500.0,5972.23
326,04-2018,SBI_Bluechip,40.3471,61.962,2500.0,5921.68
327,04-2018,SBI_Bluechip,40.6486,123.005,5000.0,11755.53
328,04-2018,SBI_Bluechip,40.6853,61.447,2500.0,5872.46
329,05-2018,SBI_Bluechip,40.8425,61.211,2500.0,5849.9
330,05-2018,SBI_Bluechip,40.594,61.585,2500.0,5885.65
331,05-2018,SBI_Bluechip,40.7449,122.715,5000.0,11727.81
332,05-2018,SBI_Bluechip,39.4297,63.404,2500.0,6059.49
333,06-2018,SBI_Bluechip,39.7106,62.955,2500.0,6016.58
334,06-2018,SBI_Bluechip,40.4191,31.84,1286.93,3042.93
335,06-2018,SBI_Bluechip,40.3918,123.788,5000.0,11830.36
336,07-2018,SBI_Bluechip,39.5155,126.533,5000.0,12092.7
337,08-2018,SBI_Bluechip,41.044,121.82,5000.0,11642.28
338,09-2018,SBI_Bluechip,40.8324,122.452,5000.0,11702.68
339,10-2018,SBI_Bluechip,37.2435,134.252,5000.0,12830.4
340,11-2018,SBI_Bluechip,38.521,129.799,5000.0,12404.83
341,12-2018,SBI_Bluechip,39.1717,127.643,5000.0,12198.78
342,01-2019,SBI_Bluechip,39.2608,127.353,5000.0,12171.06
343,02-2019,SBI_Bluechip,37.5736,133.072,5000.0,12717.62
344,03-2019,SBI_Bluechip,40.7199,122.79,5000.0,11734.98
